"Category","Map","Region","Time","Method_or_Pool","Min_Level","Max_Level","Rate_A","Species_A","Rate_B","Species_B","Rate_C","Species_C","Rate_D","Species_D"
"Standard","MAP_CLIFF_EDGE_CAVE_HNS","","Day","Rock Smash","46","49","30","SAWK","30","SILCOON","30","TIMBURR","10","SANDYGAST"
"Standard","MAP_CLIFF_EDGE_GATE_HNS","","Day","Fishing","45","47","30","CORSOLA","30","SEALEO","30","LUMINEON","10","CRAMORANT"
"Standard","MAP_CLIFF_EDGE_GATE_HNS","","Day","Surf","45","47","30","PALPITOAD","30","ARAQUANID","30","WUGTRIO","10","PALAFIN_ZERO"
"Standard","MAP_DARK_CAVE_NORTH_SIDE_HNS","","Any","Fishing","64","66","30","AZUMARILL","30","TATSUGIRI_CURLY","30","MILOTIC","10","GYARADOS"
"Standard","MAP_DARK_CAVE_NORTH_SIDE_HNS","","Any","Land","64","66","30","LUCARIO","30","GHOLDENGO","30","MAMOSWINE","10","KINGAMBIT"
"Standard","MAP_DARK_CAVE_NORTH_SIDE_HNS","","Any","Rock Smash","64","66","30","VIVILLON_MEADOW","30","LUCARIO","30","VOLCARONA","10","KINGAMBIT"
"Standard","MAP_DARK_CAVE_NORTH_SIDE_HNS","","Any","Surf","64","66","30","AZUMARILL","30","LAPRAS","30","MILOTIC","10","GYARADOS"
"Standard","MAP_DARK_CAVE_SOUTH_SIDE_HNS","","Day","Fishing","7","11","30","MAGIKARP","30","BARBOACH","30","CORPHISH","10","CHINCHOU"
"Standard","MAP_DARK_CAVE_SOUTH_SIDE_HNS","","Day","Land","7","11","30","ZUBAT","30","GEODUDE","30","ROGGENROLA","10","NOIBAT"
"Standard","MAP_DARK_CAVE_SOUTH_SIDE_HNS","","Day","Rock Smash","7","11","30","CATERPIE","30","SCATTERBUG","30","PARAS","10","MACHOP"
"Standard","MAP_DARK_CAVE_SOUTH_SIDE_HNS","","Day","Surf","7","11","30","WOOPER","30","BARBOACH","30","POLIWAG","10","CHINCHOU"
"Standard","MAP_DIGLETTS_CAVE_TUNNEL_HNS","","Any","Fishing","70","84","30","BARRASKEWDA","30","TENTACRUEL","30","GOLISOPOD","10","WALREIN"
"Standard","MAP_DIGLETTS_CAVE_TUNNEL_HNS","","Any","Land","70","84","30","MISMAGIUS","30","CHANDELURE","30","MAGNEZONE","10","HYDRAPPLE"
"Standard","MAP_DIGLETTS_CAVE_TUNNEL_HNS","","Any","Rock Smash","70","84","30","CENTISKORCH","30","GLISCOR","30","GARGANACL","10","ANNIHILAPE"
"Standard","MAP_DIGLETTS_CAVE_TUNNEL_HNS","","Any","Surf","70","84","30","WAILORD","30","CLAWITZER","30","BARBARACLE","10","BASCULEGION_M"
"Standard","MAP_DRAGONS_DEN_CAVERN_HNS","","Any","Fishing","60","63","30","DRATINI","30","AZUMARILL","30","MILOTIC","10","GYARADOS"
"Standard","MAP_DRAGONS_DEN_CAVERN_HNS","","Any","Surf","60","63","30","DRACOVISH","30","DONDOZO","30","MILOTIC","10","GYARADOS"
"Standard","MAP_ECRUTEAK_CITY_HNS","","Any","Fishing","34","37","30","FEEBAS","30","RELICANTH","30","STARYU","10","SOBBLE"
"Standard","MAP_ECRUTEAK_CITY_HNS","","Any","Land","34","37","30","COMFEY","30","SOLOSIS","30","PORYGON","10","JYNX"
"Standard","MAP_ECRUTEAK_CITY_HNS","","Any","Surf","34","37","30","FEEBAS","30","STARYU","30","FINNEON","10","QUAXLY"
"Standard","MAP_FUCHSIA_CITY_HNS","","Any","Fishing","70","84","30","FLOATZEL","30","TOXAPEX","30","BARRASKEWDA","10","SEISMITOAD"
"Standard","MAP_FUCHSIA_CITY_HNS","","Any","Land","70","84","30","WYRDEER","30","GLIMMORA","30","PORYGON_Z","10","FLORGES_RED"
"Standard","MAP_FUCHSIA_CITY_HNS","","Any","Surf","70","84","30","TENTACRUEL","30","GOLISOPOD","30","BASCULEGION_M","10","WALREIN"
"Standard","MAP_ICE_PATH_1F_HNS","","Any","Land","58","60","30","PILOSWINE","30","FROSLASS","30","BEARTIC","10","FRIGIBAX"
"Standard","MAP_ICE_PATH_B1F_HNS","","Any","Land","58","61","30","SNOVER","30","GLALIE","30","SNEASEL","10","WEAVILE"
"Standard","MAP_ICE_PATH_B2F_HNS","","Any","Land","59","61","30","PILOSWINE","30","CETITAN","30","CRYOGONAL","10","MAMOSWINE"
"Standard","MAP_ICE_PATH_B3F_HNS","","Any","Land","59","62","30","FRIGIBAX","30","VANILLISH","30","FROSMOTH","10","BAXCALIBUR"
"Standard","MAP_ICE_PATH_B4F_HNS","","Any","Land","60","62","30","FROSLASS","30","MAMOSWINE","30","GLALIE","10","BAXCALIBUR"
"Standard","MAP_ILEX_FOREST_HNS","","Any","Fishing","24","27","30","SKRELP","30","FINNEON","30","OMANYTE","10","MANTYKE"
"Standard","MAP_ILEX_FOREST_HNS","","Day","Land","24","27","30","LARVESTA","30","WEEDLE","30","SEWADDLE","10","BULBASAUR"
"Standard","MAP_ILEX_FOREST_HNS","","Night","Land","24","27","30","SPINARAK","30","VENONAT","30","JOLTIK","10","PINSIR"
"Standard","MAP_ILEX_FOREST_HNS","","Any","Surf","24","27","30","MAREANIE","30","TYMPOLE","30","CORPHISH","10","SQUIRTLE"
"Standard","MAP_LAKE_OF_RAGE_HNS","","Day","Fishing","53","55","30","GASTRODON_WEST","30","OCTILLERY","30","DREDNAW","10","DRACOVISH"
"Standard","MAP_LAKE_OF_RAGE_HNS","","Day","Surf","53","55","30","TATSUGIRI_CURLY","30","GASTRODON_WEST","30","OCTILLERY","10","DREDNAW"
"Standard","MAP_MT_MOON_CAVE_HNS","","Any","Fishing","70","84","30","WAILORD","30","CLAWITZER","30","BARBARACLE","10","SEISMITOAD"
"Standard","MAP_MT_MOON_CAVE_HNS","","Any","Land","70","84","30","ZOROARK","30","DIPPLIN","30","DUSKNOIR","10","URSALUNA"
"Standard","MAP_MT_MOON_CAVE_HNS","","Any","Rock Smash","70","84","30","FERROTHORN","30","COALOSSAL","30","AEGISLASH_SHIELD","10","KLINKLANG"
"Standard","MAP_MT_MOON_CAVE_HNS","","Any","Surf","70","84","30","FLOATZEL","30","TOXAPEX","30","BARRASKEWDA","10","TENTACRUEL"
"Standard","MAP_MT_MORTAR_1F_NORTH_HNS","","Any","Fishing","52","55","30","GASTRODON_WEST","30","OCTILLERY","30","DREDNAW","10","DONDOZO"
"Standard","MAP_MT_MORTAR_1F_NORTH_HNS","","Any","Land","52","55","30","CYCLIZAR","30","TURTONATOR","30","AERODACTYL","10","SPRIGATITO"
"Standard","MAP_MT_MORTAR_1F_NORTH_HNS","","Any","Rock Smash","52","55","30","GALVANTULA","30","GOLURK","30","CRUSTLE","10","FROSMOTH"
"Standard","MAP_MT_MORTAR_1F_NORTH_HNS","","Any","Surf","52","55","30","GASTRODON_WEST","30","OCTILLERY","30","DREDNAW","10","DRACOVISH"
"Standard","MAP_MT_MORTAR_1F_SOUTH_HNS","","Any","Fishing","52","54","30","TATSUGIRI_CURLY","30","OCTILLERY","30","DREDNAW","10","DRACOVISH"
"Standard","MAP_MT_MORTAR_1F_SOUTH_HNS","","Any","Land","52","54","30","FLAMIGO","30","GASTRODON_WEST","30","PALOSSAND","10","FUECOCO"
"Standard","MAP_MT_MORTAR_1F_SOUTH_HNS","","Any","Rock Smash","52","54","30","PINSIR","30","CRABOMINABLE","30","PALOSSAND","10","GRAPPLOCT"
"Standard","MAP_MT_MORTAR_1F_SOUTH_HNS","","Any","Surf","52","54","30","SPHEAL","30","SHELLOS_WEST","30","DREDNAW","10","DONDOZO"
"Standard","MAP_MT_MORTAR_2F_HNS","","Any","Fishing","53","55","30","TYMPOLE","30","DREDNAW","30","OCTILLERY","10","TATSUGIRI_CURLY"
"Standard","MAP_MT_MORTAR_2F_HNS","","Any","Land","53","55","30","SHUCKLE","30","HAWLUCHA","30","GOLURK","10","CRUSTLE"
"Standard","MAP_MT_MORTAR_2F_HNS","","Any","Rock Smash","53","55","30","MASQUERAIN","30","LAIRON","30","FROSMOTH","10","RABSCA"
"Standard","MAP_MT_MORTAR_2F_HNS","","Any","Surf","53","55","30","SKRELP","30","MAREANIE","30","BINACLE","10","DRACOVISH"
"Standard","MAP_MT_MORTAR_B1F_HNS","","Any","Fishing","53","55","30","CHEWTLE","30","TYMPOLE","30","DREDNAW","10","OCTILLERY"
"Standard","MAP_MT_MORTAR_B1F_HNS","","Any","Land","53","55","30","RIOLU","30","HERACROSS","30","DRAMPA","10","CRABOMINABLE"
"Standard","MAP_MT_MORTAR_B1F_HNS","","Any","Rock Smash","53","55","30","VIBRAVA","30","CAMERUPT","30","GALVANTULA","10","RABSCA"
"Standard","MAP_MT_MORTAR_B1F_HNS","","Any","Surf","53","55","30","FINIZEN","30","GASTRODON_WEST","30","DREDNAW","10","DRACOVISH"
"Standard","MAP_MT_SILVER_1F_ITEM_ROOM_HNS","","Any","Fishing","73","77","30","TYMPOLE","30","SHELLOS_WEST","30","BARBOACH","10","CHEWTLE"
"Standard","MAP_MT_SILVER_1F_ITEM_ROOM_HNS","","Any","Land","73","77","30","TYRANITAR","30","METAGROSS","30","GOODRA","10","BAXCALIBUR"
"Standard","MAP_MT_SILVER_1F_ITEM_ROOM_HNS","","Any","Rock Smash","73","77","30","TYRANITAR","30","ARCHALUDON","30","METAGROSS","10","KOMMO_O"
"Standard","MAP_MT_SILVER_1F_ITEM_ROOM_HNS","","Any","Surf","73","77","30","SKRELP","30","MAREANIE","30","BINACLE","10","CRAMORANT"
"Standard","MAP_MT_SILVER_1F_MOLTRES_ROOM_HNS","","Any","Fishing","74","78","30","CHEWTLE","30","FINIZEN","30","TYMPOLE","10","BRUXISH"
"Standard","MAP_MT_SILVER_1F_MOLTRES_ROOM_HNS","","Any","Land","74","78","30","TYRANITAR","30","ARCHALUDON","30","GOODRA","10","BAXCALIBUR"
"Standard","MAP_MT_SILVER_1F_MOLTRES_ROOM_HNS","","Any","Rock Smash","74","78","30","VOLCARONA","30","TYRANITAR","30","ARCHALUDON","10","METAGROSS"
"Standard","MAP_MT_SILVER_1F_MOLTRES_ROOM_HNS","","Any","Surf","74","78","30","CRAWDAUNT","30","SEADRA","30","WUGTRIO","10","WHISCASH"
"Standard","MAP_MT_SILVER_1F_WATERFALL_ROOM_HNS","","Any","Fishing","74","78","30","WAILMER","30","SEALEO","30","LUMINEON","10","SHARPEDO"
"Standard","MAP_MT_SILVER_1F_WATERFALL_ROOM_HNS","","Any","Land","74","78","30","HYDREIGON","30","GOODRA","30","DRAGAPULT","10","BAXCALIBUR"
"Standard","MAP_MT_SILVER_1F_WATERFALL_ROOM_HNS","","Any","Rock Smash","74","78","30","TYRANITAR","30","METAGROSS","30","GARCHOMP","10","KOMMO_O"
"Standard","MAP_MT_SILVER_1F_WATERFALL_ROOM_HNS","","Any","Surf","74","78","30","PALPITOAD","30","ARAQUANID","30","GASTRODON_WEST","10","PALAFIN_ZERO"
"Standard","MAP_MT_SILVER_2F_HNS","","Day","Fishing","77","81","30","MARILL","30","CORSOLA","30","POLIWHIRL","10","AZUMARILL"
"Standard","MAP_MT_SILVER_2F_HNS","","Day","Land","77","81","30","DRAGONITE","30","SALAMENCE","30","HYDREIGON","10","GARCHOMP"
"Standard","MAP_MT_SILVER_2F_HNS","","Day","Rock Smash","77","81","30","VOLCARONA","30","TYRANITAR","30","ARCHALUDON","10","METAGROSS"
"Standard","MAP_MT_SILVER_2F_HNS","","Day","Surf","77","81","30","CARVANHA","30","CHEWTLE","30","VELUZA","10","LANTURN"
"Standard","MAP_MT_SILVER_3F_HNS","","Day","Fishing","80","84","30","SPHEAL","30","BARBOACH","30","CORPHISH","10","LUVDISC"
"Standard","MAP_MT_SILVER_3F_HNS","","Day","Land","80","84","30","HAXORUS","30","GOODRA","30","DRAGAPULT","10","BAXCALIBUR"
"Standard","MAP_MT_SILVER_3F_HNS","","Day","Rock Smash","80","84","30","TYRANITAR","30","ARCHALUDON","30","GARCHOMP","10","KOMMO_O"
"Standard","MAP_MT_SILVER_3F_HNS","","Day","Surf","80","84","30","SHELLOS_WEST","30","BUIZEL","30","FINNEON","10","CRAMORANT"
"Standard","MAP_MT_SILVER_MOUNTAIN_SIDE_HNS","","Any","Fishing","76","80","30","TYMPOLE","30","BARBOACH","30","TIRTOUGA","10","MANTYKE"
"Standard","MAP_MT_SILVER_MOUNTAIN_SIDE_HNS","","Any","Land","76","80","30","DRAGONITE","30","SALAMENCE","30","HYDREIGON","10","GOODRA"
"Standard","MAP_MT_SILVER_MOUNTAIN_SIDE_HNS","","Any","Rock Smash","76","80","30","SCYTHER","30","PINSIR","30","VOLCARONA","10","METAGROSS"
"Standard","MAP_MT_SILVER_MOUNTAIN_SIDE_HNS","","Any","Surf","76","80","30","SKRELP","30","CLAUNCHER","30","BINACLE","10","CRAMORANT"
"Standard","MAP_MT_SILVER_OUTSIDE_HNS","","Any","Fishing","72","76","30","MAREANIE","30","TYMPOLE","30","BARBOACH","10","BRUXISH"
"Standard","MAP_MT_SILVER_OUTSIDE_HNS","","Any","Land","72","76","30","LARVITAR","30","TYRANITAR","30","DRAGAPULT","10","BAXCALIBUR"
"Standard","MAP_MT_SILVER_OUTSIDE_HNS","","Any","Rock Smash","72","76","30","RIBOMBEE","30","ARCHALUDON","30","GARCHOMP","10","KOMMO_O"
"Standard","MAP_MT_SILVER_OUTSIDE_HNS","","Any","Surf","72","76","30","CHEWTLE","30","FINIZEN","30","GASTRODON_WEST","10","CRAMORANT"
"Standard","MAP_MT_SILVER_SNOW_HNS","","Any","Fishing","78","82","30","CRAWDAUNT","30","SEADRA","30","PELIPPER","10","WHISCASH"
"Standard","MAP_MT_SILVER_SNOW_HNS","","Any","Land","78","82","30","GLALIE","30","CRABOMINABLE","30","MAMOSWINE","10","BAXCALIBUR"
"Standard","MAP_MT_SILVER_SNOW_HNS","","Any","Surf","78","82","30","OMANYTE","30","KABUTO","30","WUGTRIO","10","SHARPEDO"
"Standard","MAP_NATIONAL_PARK_BUG_CONTEST_HNS","","Day","Land","26","29","30","PANCHAM","30","PAWNIARD","30","LILEEP","10","TURTWIG"
"Standard","MAP_NATIONAL_PARK_BUG_CONTEST_HNS","","Night","Land","26","29","30","FERROSEED","30","DWEBBLE","30","GLIMMET","10","ANORITH"
"Standard","MAP_NATIONAL_PARK_NORMAL_HNS","","Day","Land","26","29","30","NYMBLE","30","CUTIEFLY","30","GRUBBIN","10","TREECKO"
"Standard","MAP_NATIONAL_PARK_NORMAL_HNS","","Night","Land","26","29","30","VENONAT","30","JOLTIK","30","SIZZLIPEDE","10","PINSIR"
"Standard","MAP_NEW_BARK_TOWN_HNS","","Any","Fishing","2","5","30","MAGIKARP","30","GOLDEEN","30","BARBOACH","10","CORPHISH"
"Standard","MAP_NEW_BARK_TOWN_HNS","","Any","Land","2","5","30","PIDOVE","30","SMOLIV","30","HATENNA","10","TYNAMO"
"Standard","MAP_NEW_BARK_TOWN_HNS","","Any","Surf","2","5","30","MAGIKARP","30","WOOPER","30","POLIWAG","10","SURSKIT"
"Standard","MAP_OLIVINE_CITY_HNS","","Any","Fishing","40","43","30","TENTACOOL","30","RELICANTH","30","SHELLDER","10","WATTREL"
"Standard","MAP_OLIVINE_CITY_HNS","","Any","Land","40","43","30","BLITZLE","30","MUNCHLAX","30","VIGOROTH","10","MAGNEMITE"
"Standard","MAP_OLIVINE_CITY_HNS","","Any","Surf","40","43","30","WINGULL","30","TENTACOOL","30","CHINCHOU","10","HORSEA"
"Standard","MAP_OLIVINE_CITY_PORT_OUTSIDE_HNS","","Any","Fishing","40","44","30","BASCULIN_RED_STRIPED","30","POLIWHIRL","30","SEADRA","10","PALAFIN_ZERO"
"Standard","MAP_OLIVINE_CITY_PORT_OUTSIDE_HNS","","Any","Land","40","44","30","BERGMITE","30","PONYTA","30","MAGCARGO","10","SCORBUNNY"
"Standard","MAP_OLIVINE_CITY_PORT_OUTSIDE_HNS","","Any","Surf","40","44","30","OMANYTE","30","KABUTO","30","CORSOLA","10","LANTURN"
"Standard","MAP_PALLET_TOWN_HNS","","Day","Fishing","70","84","30","WAILORD","30","GOLISOPOD","30","BASCULEGION_M","10","WALREIN"
"Standard","MAP_PALLET_TOWN_HNS","","Day","Surf","70","84","30","FLOATZEL","30","CLAWITZER","30","BARBARACLE","10","SEISMITOAD"
"Standard","MAP_ROCK_TUNNEL_1F_HNS","","Any","Fishing","70","84","30","TOXAPEX","30","BARRASKEWDA","30","TENTACRUEL","10","WALREIN"
"Standard","MAP_ROCK_TUNNEL_1F_HNS","","Any","Land","70","84","30","HOUNDOOM","30","GALLADE","30","CHANDELURE","10","DUSKNOIR"
"Standard","MAP_ROCK_TUNNEL_1F_HNS","","Any","Rock Smash","70","84","30","TOEDSCRUEL","30","GLISCOR","30","CONKELDURR","10","AGGRON"
"Standard","MAP_ROCK_TUNNEL_1F_HNS","","Any","Surf","70","84","30","BARRASKEWDA","30","WAILORD","30","BASCULEGION_M","10","GOLISOPOD"
"Standard","MAP_ROCK_TUNNEL_B1F_HNS","","Any","Fishing","70","84","30","TOXAPEX","30","CLAWITZER","30","BARBARACLE","10","SEISMITOAD"
"Standard","MAP_ROCK_TUNNEL_B1F_HNS","","Any","Land","70","84","30","POLTEAGEIST","30","WEAVILE","30","NOIVERN","10","HYDRAPPLE"
"Standard","MAP_ROCK_TUNNEL_B1F_HNS","","Any","Rock Smash","70","84","30","MIENSHAO","30","GIGALITH","30","COALOSSAL","10","RHYPERIOR"
"Standard","MAP_ROCK_TUNNEL_B1F_HNS","","Any","Surf","70","84","30","FLOATZEL","30","TOXAPEX","30","BARRASKEWDA","10","TENTACRUEL"
"Standard","MAP_ROCKET_HIDEOUT_B1F_HNS","","Day","Land","54","55","30","BOLDORE","30","DUSCLOPS","30","BANETTE","10","TREVENANT"
"Standard","MAP_ROUTE1_HNS","","Any","Fishing","70","84","30","SHARPEDO","30","BARRASKEWDA","30","BASCULEGION_M","10","PALAFIN_ZERO"
"Standard","MAP_ROUTE1_HNS","","Day","Land","70","84","30","TYRANITAR","30","GARCHOMP","30","SALAMENCE","10","METAGROSS"
"Standard","MAP_ROUTE1_HNS","","Night","Land","70","84","30","HYDREIGON","30","DRAGAPULT","30","KINGAMBIT","10","GHOLDENGO"
"Standard","MAP_ROUTE1_HNS","","Any","Surf","70","84","30","GYARADOS","30","MILOTIC","30","DONDOZO","10","TENTACRUEL"
"Standard","MAP_ROUTE10_HNS","","Any","Fishing","70","84","30","FLOATZEL","30","GOLISOPOD","30","BASCULEGION_M","10","WALREIN"
"Standard","MAP_ROUTE10_HNS","","Day","Land","70","84","30","PYROAR","30","BRAVIARY","30","TANGROWTH","10","TSAREENA"
"Standard","MAP_ROUTE10_HNS","","Night","Land","70","84","30","MANDIBUZZ","30","OVERQWIL","30","SNEASLER","10","KROOKODILE"
"Standard","MAP_ROUTE10_HNS","","Any","Surf","70","84","30","WAILORD","30","CLAWITZER","30","BARBARACLE","10","SEISMITOAD"
"Standard","MAP_ROUTE11_HNS","","Any","Fishing","70","84","30","FLOATZEL","30","TOXAPEX","30","BARRASKEWDA","10","TENTACRUEL"
"Standard","MAP_ROUTE11_HNS","","Day","Land","70","84","30","NINETALES","30","TANGROWTH","30","HATTERENE","10","NOIVERN"
"Standard","MAP_ROUTE11_HNS","","Night","Land","70","84","30","SINISTCHA","30","OVERQWIL","30","KROOKODILE","10","ANNIHILAPE"
"Standard","MAP_ROUTE11_HNS","","Any","Surf","70","84","30","WAILORD","30","GOLISOPOD","30","BASCULEGION_M","10","WALREIN"
"Standard","MAP_ROUTE12_HNS","","Any","Fishing","70","84","30","FLOATZEL","30","CLAWITZER","30","BARBARACLE","10","SEISMITOAD"
"Standard","MAP_ROUTE12_HNS","","Day","Land","70","84","30","URSARING","30","ROSERADE","30","TALONFLAME","10","TINKATON"
"Standard","MAP_ROUTE12_HNS","","Night","Land","70","84","30","DRAPION","30","SINISTCHA","30","TOXTRICITY_AMPED","10","HONCHKROW"
"Standard","MAP_ROUTE12_HNS","","Any","Rock Smash","70","84","30","SANDACONDA","30","DONPHAN","30","HIPPOWDON","10","MAGNEZONE"
"Standard","MAP_ROUTE12_HNS","","Any","Surf","70","84","30","TOXAPEX","30","BARRASKEWDA","30","TENTACRUEL","10","WALREIN"
"Standard","MAP_ROUTE13_HNS","","Any","Fishing","70","84","30","WAILORD","30","BARBARACLE","30","BASCULEGION_M","10","GOLISOPOD"
"Standard","MAP_ROUTE13_HNS","","Day","Land","70","84","30","ABOMASNOW","30","WYRDEER","30","TALONFLAME","10","FLORGES_RED"
"Standard","MAP_ROUTE13_HNS","","Night","Land","70","84","30","REVAVROOM","30","ROSERADE","30","NIDOQUEEN","10","GLIMMORA"
"Standard","MAP_ROUTE13_HNS","","Any","Surf","70","84","30","FLOATZEL","30","TOXAPEX","30","CLAWITZER","10","SEISMITOAD"
"Standard","MAP_ROUTE14_HNS","","Any","Fishing","70","84","30","BARRASKEWDA","30","TENTACRUEL","30","GOLISOPOD","10","WALREIN"
"Standard","MAP_ROUTE14_HNS","","Day","Land","70","84","30","FERROTHORN","30","KILOWATTREL","30","ZEBSTRIKA","10","GALLADE"
"Standard","MAP_ROUTE14_HNS","","Night","Land","70","84","30","PANGORO","30","HONCHKROW","30","DRAGALGE","10","NIDOKING"
"Standard","MAP_ROUTE14_HNS","","Any","Surf","70","84","30","WAILORD","30","CLAWITZER","30","BARBARACLE","10","BASCULEGION_M"
"Standard","MAP_ROUTE15_HNS","","Any","Fishing","70","84","30","FLOATZEL","30","TOXAPEX","30","BARRASKEWDA","10","SEISMITOAD"
"Standard","MAP_ROUTE15_HNS","","Day","Land","70","84","30","SCOVILLAIN","30","TOEDSCRUEL","30","MAGMAR","10","LUXRAY"
"Standard","MAP_ROUTE15_HNS","","Night","Land","70","84","30","TOXICROAK","30","GOURGEIST","30","TOXTRICITY_AMPED","10","GRIMMSNARL"
"Standard","MAP_ROUTE15_HNS","","Any","Rock Smash","70","84","30","MUDSDALE","30","EXCADRILL","30","KLINKLANG","10","RHYPERIOR"
"Standard","MAP_ROUTE15_HNS","","Any","Surf","70","84","30","TENTACRUEL","30","GOLISOPOD","30","BASCULEGION_M","10","WALREIN"
